 ******
 ***************transistor_test************************

 ****** transient analysis tnom=  25.000 temp=  25.000 ******
x

 time         voltage    voltage   
             n_g_u      n_d_d      
  0.0000e+00  0.000e+00  9.905e-01 
  1.0000e-11  0.000e+00  9.905e-01 
  2.0000e-11  0.000e+00  9.905e-01 
  3.0000e-11  0.000e+00  9.905e-01 
  4.0000e-11  0.000e+00  9.905e-01 
  5.0000e-11  0.000e+00  9.905e-01 
  6.0000e-11  0.000e+00  9.905e-01 
  7.0000e-11  0.000e+00  9.905e-01 
  8.0000e-11  0.000e+00  9.905e-01 
  9.0000e-11  0.000e+00  9.905e-01 
  1.0000e-10  0.000e+00  9.905e-01 
  1.1000e-10  0.000e+00  9.905e-01 
  1.2000e-10  0.000e+00  9.905e-01 
  1.3000e-10  0.000e+00  9.905e-01 
  1.4000e-10  0.000e+00  9.905e-01 
  1.5000e-10  0.000e+00  9.905e-01 
  1.6000e-10  0.000e+00  9.905e-01 
  1.7000e-10  0.000e+00  9.905e-01 
  1.8000e-10  0.000e+00  9.905e-01 
  1.9000e-10  0.000e+00  9.905e-01 
  2.0000e-10  0.000e+00  9.905e-01 
  2.1000e-10  0.000e+00  9.905e-01 
  2.2000e-10  0.000e+00  9.905e-01 
  2.3000e-10  0.000e+00  9.905e-01 
  2.4000e-10  0.000e+00  9.905e-01 
  2.5000e-10  0.000e+00  9.905e-01 
  2.6000e-10  0.000e+00  9.905e-01 
  2.7000e-10  0.000e+00  9.905e-01 
  2.8000e-10  0.000e+00  9.905e-01 
  2.9000e-10  0.000e+00  9.905e-01 
  3.0000e-10  0.000e+00  9.905e-01 
  3.1000e-10  0.000e+00  9.905e-01 
  3.2000e-10  0.000e+00  9.905e-01 
  3.3000e-10  0.000e+00  9.905e-01 
  3.4000e-10  0.000e+00  9.905e-01 
  3.5000e-10  0.000e+00  9.905e-01 
  3.6000e-10  0.000e+00  9.905e-01 
  3.7000e-10  0.000e+00  9.905e-01 
  3.8000e-10  0.000e+00  9.905e-01 
  3.9000e-10  0.000e+00  9.905e-01 
  4.0000e-10  0.000e+00  9.905e-01 
  4.1000e-10  0.000e+00  9.905e-01 
  4.2000e-10  0.000e+00  9.905e-01 
  4.3000e-10  0.000e+00  9.905e-01 
  4.4000e-10  0.000e+00  9.905e-01 
  4.5000e-10  0.000e+00  9.905e-01 
  4.6000e-10  0.000e+00  9.905e-01 
  4.7000e-10  0.000e+00  9.905e-01 
  4.8000e-10  0.000e+00  9.905e-01 
  4.9000e-10  0.000e+00  9.905e-01 
  5.0000e-10  0.000e+00  9.905e-01 
  5.1000e-10  0.000e+00  9.905e-01 
  5.2000e-10  0.000e+00  9.905e-01 
  5.3000e-10  0.000e+00  9.905e-01 
  5.4000e-10  0.000e+00  9.905e-01 
  5.5000e-10  0.000e+00  9.905e-01 
  5.6000e-10  0.000e+00  9.905e-01 
  5.7000e-10  0.000e+00  9.905e-01 
  5.8000e-10  0.000e+00  9.905e-01 
  5.9000e-10  0.000e+00  9.905e-01 
  6.0000e-10  0.000e+00  9.905e-01 
  6.1000e-10  0.000e+00  9.905e-01 
  6.2000e-10  0.000e+00  9.905e-01 
  6.3000e-10  0.000e+00  9.905e-01 
  6.4000e-10  0.000e+00  9.905e-01 
  6.5000e-10  0.000e+00  9.905e-01 
  6.6000e-10  0.000e+00  9.905e-01 
  6.7000e-10  0.000e+00  9.905e-01 
  6.8000e-10  0.000e+00  9.905e-01 
  6.9000e-10  0.000e+00  9.905e-01 
  7.0000e-10  0.000e+00  9.905e-01 
  7.1000e-10  0.000e+00  9.905e-01 
  7.2000e-10  0.000e+00  9.905e-01 
  7.3000e-10  0.000e+00  9.905e-01 
  7.4000e-10  0.000e+00  9.905e-01 
  7.5000e-10  0.000e+00  9.905e-01 
  7.6000e-10  0.000e+00  9.905e-01 
  7.7000e-10  0.000e+00  9.905e-01 
  7.8000e-10  0.000e+00  9.905e-01 
  7.9000e-10  0.000e+00  9.905e-01 
  8.0000e-10  0.000e+00  9.905e-01 
  8.1000e-10  0.000e+00  9.905e-01 
  8.2000e-10  0.000e+00  9.905e-01 
  8.3000e-10  0.000e+00  9.905e-01 
  8.4000e-10  0.000e+00  9.905e-01 
  8.5000e-10  0.000e+00  9.905e-01 
  8.6000e-10  0.000e+00  9.905e-01 
  8.7000e-10  0.000e+00  9.905e-01 
  8.8000e-10  0.000e+00  9.905e-01 
  8.9000e-10  0.000e+00  9.905e-01 
  9.0000e-10  0.000e+00  9.905e-01 
  9.1000e-10  0.000e+00  9.905e-01 
  9.2000e-10  0.000e+00  9.905e-01 
  9.3000e-10  0.000e+00  9.905e-01 
  9.4000e-10  0.000e+00  9.905e-01 
  9.5000e-10  0.000e+00  9.905e-01 
  9.6000e-10  0.000e+00  9.905e-01 
  9.7000e-10  0.000e+00  9.905e-01 
  9.8000e-10  0.000e+00  9.905e-01 
  9.9000e-10  0.000e+00  9.905e-01 
  1.0000e-09  0.000e+00  9.905e-01 
  1.0100e-09  6.250e-02  9.632e-01 
  1.0200e-09  1.250e-01  9.327e-01 
  1.0300e-09  1.875e-01  8.998e-01 
  1.0400e-09  2.500e-01  8.645e-01 
  1.0500e-09  3.125e-01  8.273e-01 
  1.0600e-09  3.750e-01  7.893e-01 
  1.0700e-09  4.375e-01  7.517e-01 
  1.0800e-09  5.000e-01  7.156e-01 
  1.0900e-09  5.625e-01  6.817e-01 
  1.1000e-09  6.250e-01  6.507e-01 
  1.1100e-09  6.875e-01  6.227e-01 
  1.1200e-09  7.500e-01  5.982e-01 
  1.1300e-09  8.125e-01  5.769e-01 
  1.1400e-09  8.750e-01  5.588e-01 
  1.1500e-09  9.375e-01  5.440e-01 
  1.1600e-09  1.000e+00  5.322e-01 
  1.1700e-09  1.062e+00  5.232e-01 
  1.1800e-09  1.125e+00  5.171e-01 
  1.1900e-09  1.187e+00  5.141e-01 
  1.2000e-09  1.250e+00  5.128e-01 
  1.2100e-09  1.250e+00  5.128e-01 
  1.2200e-09  1.250e+00  5.128e-01 
  1.2300e-09  1.250e+00  5.128e-01 
  1.2400e-09  1.250e+00  5.128e-01 
  1.2500e-09  1.250e+00  5.128e-01 
  1.2600e-09  1.250e+00  5.128e-01 
  1.2700e-09  1.250e+00  5.128e-01 
  1.2800e-09  1.250e+00  5.128e-01 
  1.2900e-09  1.250e+00  5.128e-01 
  1.3000e-09  1.250e+00  5.128e-01 
  1.3100e-09  1.250e+00  5.128e-01 
  1.3200e-09  1.250e+00  5.128e-01 
  1.3300e-09  1.250e+00  5.128e-01 
  1.3400e-09  1.250e+00  5.128e-01 
  1.3500e-09  1.250e+00  5.128e-01 
  1.3600e-09  1.250e+00  5.128e-01 
  1.3700e-09  1.250e+00  5.128e-01 
  1.3800e-09  1.250e+00  5.128e-01 
  1.3900e-09  1.250e+00  5.128e-01 
  1.4000e-09  1.250e+00  5.128e-01 
  1.4100e-09  1.250e+00  5.128e-01 
  1.4200e-09  1.250e+00  5.128e-01 
  1.4300e-09  1.250e+00  5.128e-01 
  1.4400e-09  1.250e+00  5.128e-01 
  1.4500e-09  1.250e+00  5.128e-01 
  1.4600e-09  1.250e+00  5.128e-01 
  1.4700e-09  1.250e+00  5.128e-01 
  1.4800e-09  1.250e+00  5.128e-01 
  1.4900e-09  1.250e+00  5.128e-01 
  1.5000e-09  1.250e+00  5.128e-01 
  1.5100e-09  1.250e+00  5.128e-01 
  1.5200e-09  1.250e+00  5.128e-01 
  1.5300e-09  1.250e+00  5.128e-01 
  1.5400e-09  1.250e+00  5.128e-01 
  1.5500e-09  1.250e+00  5.128e-01 
  1.5600e-09  1.250e+00  5.128e-01 
  1.5700e-09  1.250e+00  5.128e-01 
  1.5800e-09  1.250e+00  5.128e-01 
  1.5900e-09  1.250e+00  5.128e-01 
  1.6000e-09  1.250e+00  5.128e-01 
  1.6100e-09  1.250e+00  5.128e-01 
  1.6200e-09  1.250e+00  5.128e-01 
  1.6300e-09  1.250e+00  5.128e-01 
  1.6400e-09  1.250e+00  5.128e-01 
  1.6500e-09  1.250e+00  5.128e-01 
  1.6600e-09  1.250e+00  5.128e-01 
  1.6700e-09  1.250e+00  5.128e-01 
  1.6800e-09  1.250e+00  5.128e-01 
  1.6900e-09  1.250e+00  5.128e-01 
  1.7000e-09  1.250e+00  5.128e-01 
  1.7100e-09  1.250e+00  5.128e-01 
  1.7200e-09  1.250e+00  5.128e-01 
  1.7300e-09  1.250e+00  5.128e-01 
  1.7400e-09  1.250e+00  5.128e-01 
  1.7500e-09  1.250e+00  5.128e-01 
  1.7600e-09  1.250e+00  5.128e-01 
  1.7700e-09  1.250e+00  5.128e-01 
  1.7800e-09  1.250e+00  5.128e-01 
  1.7900e-09  1.250e+00  5.128e-01 
  1.8000e-09  1.250e+00  5.128e-01 
  1.8100e-09  1.250e+00  5.128e-01 
  1.8200e-09  1.250e+00  5.128e-01 
  1.8300e-09  1.250e+00  5.128e-01 
  1.8400e-09  1.250e+00  5.128e-01 
  1.8500e-09  1.250e+00  5.128e-01 
  1.8600e-09  1.250e+00  5.128e-01 
  1.8700e-09  1.250e+00  5.128e-01 
  1.8800e-09  1.250e+00  5.128e-01 
  1.8900e-09  1.250e+00  5.128e-01 
  1.9000e-09  1.250e+00  5.128e-01 
  1.9100e-09  1.250e+00  5.128e-01 
  1.9200e-09  1.250e+00  5.128e-01 
  1.9300e-09  1.250e+00  5.128e-01 
  1.9400e-09  1.250e+00  5.128e-01 
  1.9500e-09  1.250e+00  5.128e-01 
  1.9600e-09  1.250e+00  5.128e-01 
  1.9700e-09  1.250e+00  5.128e-01 
  1.9800e-09  1.250e+00  5.128e-01 
  1.9900e-09  1.250e+00  5.128e-01 
  2.0000e-09  1.250e+00  5.128e-01 
  2.0100e-09  1.250e+00  5.128e-01 
  2.0200e-09  1.250e+00  5.128e-01 
  2.0300e-09  1.250e+00  5.128e-01 
  2.0400e-09  1.250e+00  5.128e-01 
  2.0500e-09  1.250e+00  5.128e-01 
  2.0600e-09  1.250e+00  5.128e-01 
  2.0700e-09  1.250e+00  5.128e-01 
  2.0800e-09  1.250e+00  5.128e-01 
  2.0900e-09  1.250e+00  5.128e-01 
  2.1000e-09  1.250e+00  5.128e-01 
  2.1100e-09  1.250e+00  5.128e-01 
  2.1200e-09  1.250e+00  5.128e-01 
  2.1300e-09  1.250e+00  5.128e-01 
  2.1400e-09  1.250e+00  5.128e-01 
  2.1500e-09  1.250e+00  5.128e-01 
  2.1600e-09  1.250e+00  5.128e-01 
  2.1700e-09  1.250e+00  5.128e-01 
  2.1800e-09  1.250e+00  5.128e-01 
  2.1900e-09  1.250e+00  5.128e-01 
  2.2000e-09  1.250e+00  5.128e-01 
  2.2100e-09  1.187e+00  5.136e-01 
  2.2200e-09  1.125e+00  5.170e-01 
  2.2300e-09  1.062e+00  5.232e-01 
  2.2400e-09  1.000e+00  5.322e-01 
  2.2500e-09  9.375e-01  5.439e-01 
  2.2600e-09  8.750e-01  5.589e-01 
  2.2700e-09  8.125e-01  5.770e-01 
  2.2800e-09  7.500e-01  5.981e-01 
  2.2900e-09  6.875e-01  6.229e-01 
  2.3000e-09  6.250e-01  6.508e-01 
  2.3100e-09  5.625e-01  6.817e-01 
  2.3200e-09  5.000e-01  7.157e-01 
  2.3300e-09  4.375e-01  7.518e-01 
  2.3400e-09  3.750e-01  7.893e-01 
  2.3500e-09  3.125e-01  8.273e-01 
  2.3600e-09  2.500e-01  8.645e-01 
  2.3700e-09  1.875e-01  9.000e-01 
  2.3800e-09  1.250e-01  9.331e-01 
  2.3900e-09  6.250e-02  9.631e-01 
  2.4000e-09  0.000e+00  9.905e-01 
  2.4100e-09  0.000e+00  9.905e-01 
  2.4200e-09  0.000e+00  9.905e-01 
  2.4300e-09  0.000e+00  9.905e-01 
  2.4400e-09  0.000e+00  9.905e-01 
  2.4500e-09  0.000e+00  9.905e-01 
  2.4600e-09  0.000e+00  9.905e-01 
  2.4700e-09  0.000e+00  9.905e-01 
  2.4800e-09  0.000e+00  9.905e-01 
  2.4900e-09  0.000e+00  9.905e-01 
  2.5000e-09  0.000e+00  9.905e-01 
  2.5100e-09  0.000e+00  9.905e-01 
  2.5200e-09  0.000e+00  9.905e-01 
  2.5300e-09  0.000e+00  9.905e-01 
  2.5400e-09  0.000e+00  9.905e-01 
  2.5500e-09  0.000e+00  9.905e-01 
  2.5600e-09  0.000e+00  9.905e-01 
  2.5700e-09  0.000e+00  9.905e-01 
  2.5800e-09  0.000e+00  9.905e-01 
  2.5900e-09  0.000e+00  9.905e-01 
  2.6000e-09  0.000e+00  9.905e-01 
  2.6100e-09  0.000e+00  9.905e-01 
  2.6200e-09  0.000e+00  9.905e-01 
  2.6300e-09  0.000e+00  9.905e-01 
  2.6400e-09  0.000e+00  9.905e-01 
  2.6500e-09  0.000e+00  9.905e-01 
  2.6600e-09  0.000e+00  9.905e-01 
  2.6700e-09  0.000e+00  9.905e-01 
  2.6800e-09  0.000e+00  9.905e-01 
  2.6900e-09  0.000e+00  9.905e-01 
  2.7000e-09  0.000e+00  9.905e-01 
  2.7100e-09  0.000e+00  9.905e-01 
  2.7200e-09  0.000e+00  9.905e-01 
  2.7300e-09  0.000e+00  9.905e-01 
  2.7400e-09  0.000e+00  9.905e-01 
  2.7500e-09  0.000e+00  9.905e-01 
